PRIMKEY,COUNTRY,FIPSCODE,COWCODE,CONTCODE,SITENUM,NAME,LAT,LONG,RES,RESINFO,LOCSOURCE,FIELDINFO,DISC,DISCPRES,PROD,PRODPRES,OTHERINFO,SOURCEINFO,VERSION
PE006PET,Peru,PE,135,5,6,Ucayali Basin,-7.38,-74.89,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1957,1,1994,1,Maquia field found in 1857 and has been operated by Maple since 1994,"Anonymous, 2001 - Maple, 2001 - Petroleum Economist, 2003",1.2
PE003PET,Peru,PE,135,5,3,Putumayo-Orient-Maranon Basin,-5.19,-74.33,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",2,1974,1,-9999,4,Bretana field found in 1974 and in 2003 development was planned,"ENVOI, 2003 - Petroleum Economist, 2003",1.2
PE002PET,Peru,PE,135,5,2,Putumayo-Orient-Maranon Basin,-5.16,-74.96,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1977,1,-9999,3,Yanayacu field discovered in 1977,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
PE001PET,Peru,PE,135,5,1,Putumayo-Orient-Maranon Basin,-3.01,-75.73,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1971,1,1975,1,Corrientes field found in 1971 - production commenced in 1975 in that area,"Kulke, 1995 - Occidental Petroleum Corporation, 2003 - Petroleum Economist, 2003",1.2
PE005PET,Peru,PE,135,5,5,Talara Basin,-4.48,-81.01,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,Talara field discovered in 1868/69 - first commercial production in 1883,"Kulke, 1995 - World Energy Council, 2001bi - Petroleum Economist, 2003",1.2
PE004PET,Peru,PE,135,5,4,Progreso Basin,-3.76,-80.58,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",2,1971,2,-9999,4,Carpitas field under production until 1971,"Juan et al., 2003 - Petroleum Economist, 2003",1.2
PE012PET,Peru,PE,135,5,12,Madre dos Dios Basin,-11.82,-72.75,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",3,-9999,3,-9999,3,no confirmation of Petroleum Economist - no further information available,"Petroleum Economist, 2003",1.2
PE011PET,Peru,PE,135,5,11,Ucayali Basin,-11.56,-73.18,PET,gas,"Schenk et al., 1999 - Petroleum Economist, 2003",2,1986,1,-9999,4,Camisea field discovered in the 1986 and was under development in 2003,"EIA, 2003s - Petroleum Economist, 2003",1.2
VE008PET,Venezuela,VE,101,5,8,Llanos Basin,7.15,-71.25,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1987,1,-9999,3,La Victoria field found in 1987,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
VE003PET,Venezuela,VE,101,5,3,Maracaibo Basin,7.69,-72.27,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,-9999,3,Las Cruces and Los Manueles fields found in 1916,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
VE007PET,Venezuela,VE,101,5,7,Barinas-Apure Basin,8.40,-70.05,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1948,1,-9999,3,San Silvestre field discovered in 1948,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
VE009PET,Venezuela,VE,101,5,9,East Venezuela Basin,9.19,-64.45,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,Quiriquire field discovered in 1928 - Temblador field operating since 1936,"Martinez 1999 - Kulke, 1995 - Harvest Natural Resources, Inc., 2003 - Petroleum Economist, 2003",1.2
VE006PET,Venezuela,VE,101,5,6,Falcon Basin,10.94,-68.51,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",3,1927,1,-9999,3,Mene de Acosta field found in 1927,"Martinez 1999 - Petroleum Economist, 2003",1.2
VE001PET,Venezuela,VE,101,5,1,Maracaibo Basin,9.99,-72.33,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,2,Cabimas field discovered in 1917 - Mara field under production at least since 1945,"Anonymous, 2001 - Kulke, 1995 - Petroleum Economist, 2003",1.2
VE005PET,Venezuela,VE,101,5,5,Falcon Basin,11.26,-69.91,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,Cumarebo field found in 1931 and development started in the same year,"Anonymous, 2001 - PetroFalcon, 2003 - Petroleum Economist, 2003",1.2
VE004PET,Venezuela,VE,101,5,4,Falcon Basin,10.81,-70.85,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",3,1945,1,-9999,1,Monte Claro field discovered in 1926,"Martinez 1999 - Petroleum Economist, 2003",1.2
VE002PET,Venezuela,VE,101,5,2,Maracaibo Basin,10.00,-71.01,PET,oil and gas,"Schenk et al., 1999",1,1945,1,-9999,3,Mene Grande field discovered in 1914,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
GY001PET,Guyana,GY,110,5,1,Tacutu Basin,3.74,-59.49,PET,oil and gas,"Schenk et al., 1999",4,1982,1,-9999,4,Karanambo well discovered but the resources were too small - exploration projects planned in 1998,"DRAFT, 1996 - Gurmendi, 1999",1.2
EC001PET,Ecuador,EC,130,5,1,Progreso Basin,-2.12,-80.65,PET,oil,"Schenk et al. 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,early discoveries since 1913 - Ancon and Cautivo fields found in 1921 - first commercial production in 1917,"Kulke, 1995 - Anonymous, 2001 - Petroleum Economist, 2003",1.2
EC002PET,Ecuador,EC,130,5,2,Putumayo-Orient-Maranon Basin,-0.71,-77.76,PET,oil,"Schenk et al. 1999 - Petroleum Economist, 2003",3,-9999,3,-9999,3,Pungarayuca field - no further information available,"Petroleum Economist, 2003",1.2
EC003PET,Ecuador,EC,130,5,3,Putumayo-Orient-Maranon Basin,-0.87,-76.63,PET,oil,"Schenk et al. 1999 - Petroleum Economist, 2003",1,1967,1,1972,2,"Bermejo, Charapa and Lago Agrio fields discovered in 1967 - production in the Oriente region since 1972","Anonymous, 2001 - ChevronTexaco, 2003b - Kulke, 1995 - Petroleum Economist, 2003",1.2
CO019PET,Colombia,CO,100,5,19,Putumayo-Orient-Maranon Basin,0.73,-76.53,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1959,1,1968,1,Caribe field discovered in 1959 - Orito field started production in 1968,"Anonymous, 2001 - Petrobank Energy and Resources Ltd., year unknown - Petroleum Economist, 2003",1.2
CO018PET,Colombia,CO,100,5,18,Putumayo-Orient-Maranon Basin,2.12,-74.54,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
CO016PET,Colombia,CO,100,5,16,Llanos Basin,3.47,-72.18,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
CO015PET,Colombia,CO,100,5,15,Llanos Basin,3.80,-71.50,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1989,1,1997,2,Rubiales field discovered in 1989 - operation was suspended in 1997,"Anonymous, 2001 - Ismi, 2000 - Petroleum Economist, 2003",1.2
CO014PET,Colombia,CO,100,5,14,Llanos Basin,3.90,-73.25,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1969,1,-9999,3,Castilla field found in 1969,"Kulke, 1995 - Petroleum Economist, 2003",1.2
CO013PET,Colombia,CO,100,5,13,Llanos Basin,4.73,-73.12,PET,gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1988,1,1990,2,Cusiana field found in 1988 and was put into production in the early 1990s,"Anonymous, 2001 - Simmons, 2001 - Petroleum Economist, 2003",1.2
CO017PET,Colombia,CO,100,5,17,Upper Magdelena,3.70,-75.14,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1985,1,-9999,3,Toqui Toqui field discovered in 1985,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
CO012PET,Colombia,CO,100,5,12,Llanos Basin,5.60,-70.14,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1988,1,-9999,3,Chaparrito field found in 1988 and Las Abejas field discovered in 1990,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
CO011PET,Colombia,CO,100,5,11,Llanos Basin,5.77,-72.85,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
CO010PET,Colombia,CO,100,5,10,Llanos Basin,5.15,-71.80,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1974,1,1985,1,Trinidad field found 1974 and Cravo field came on stream in 1985,"Anonymous, 2001 - Anonymous, 1998 - Petroleum Economist, 2003",1.2
CO009PET,Colombia,CO,100,5,9,Llanos Basin,6.78,-71.24,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1980,1,1986,1,Arauca field found in 1980 - giant Cano Limon field started operating in 1986,"Anonymous, 2001 - American Friends Service Committee, year unknown - Petroleum Economist, 2003",1.2
CO008PET,Colombia,CO,100,5,8,Llanos Basin,6.87,-71.85,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
CO007PET,Colombia,CO,100,5,7,Middle Magdelena,6.99,-73.93,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,Infantas field found in 1918 and came on stream in the same year,"Kulke, 1995 - Link, 1952",1.2
CO004PET,Colombia,CO,100,5,4,Lower Magdelena,8.51,-76.12,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
CO006PET,Colombia,CO,100,5,6,Maracaibo Basin,8.44,-72.77,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,-9999,3,Carbonera field found in 1939,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
CO005PET,Colombia,CO,100,5,5,Cesar Basin,9.76,-73.40,PET,gas,"Schenk et al., 1999 - Petroleum Economist, 2003",3,-9999,3,-9999,3,El Dificil field - no further information available,"Petroleum Economist, 2003",1.2
CO003PET,Colombia,CO,100,5,3,Lower Magdelena,9.32,-74.78,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1956,1,-9999,3,Cicuco field discovered in 1956,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
CO002PET,Colombia,CO,100,5,2,Lower Magdelena,10.64,-74.97,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
CO001PET,Colombia,CO,100,5,1,Guajira Basin,11.44,-72.73,PET,gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1977,2,1977,1,"Ballena and Riohacha are under production since 1977, so they were found at least in the same year","Mera Petroleums Inc., 1999 - Petroleum Economist, 2003",1.2
CI005PET,Chile,CI,155,5,5,Magallanes Basin,-53.20,-69.18,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1950,1,Manantialles field discovered in 1945 - first commercial production in 1950,"Kulke, 1995 - World Energy Council, 2001r - Petroleum Economist, 2003",1.2
CI004PET,Chile,CI,155,5,4,Magallanes Basin,-52.56,-70.69,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1958,1,-9999,3,Delgado field found in 1958,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
CI003PET,Chile,CI,155,5,3,Magallanes Basin,-51.99,-72.18,PET,gas,"Schenk et al., 1999 - Petroleum Economist, 2003",3,-9999,3,-9999,3,Tranquilo field - no further information available,"Petroleum Economist, 2003",1.2
CI002PET,Chile,CI,155,5,2,Temuco Basin,-38.70,-72.77,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist - no further inforamation available,"Petroleum Economist, 2003",1.2
CI001PET,Chile,CI,155,5,1,Central Chile Forearc Basin,-37.62,-73.48,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist - no further inforamation available,"Petroleum Economist, 2003",1.2
BR022PET,Brazil,BR,140,5,22,Parana Basin,-26.63,-51.57,PET,oil and gas,"Schenk et al., 1999",4,-9999,3,-9999,4,in 1995 exploration was still going on - shale oil production since 1972 in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR021PET,Brazil,BR,140,5,21,Parana Basin,-24.90,-51.79,PET,oil and gas,"Schenk et al., 1999",4,-9999,3,-9999,4,in 1995 exploration was still going on - shale oil production since 1972 in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR020PET,Brazil,BR,140,5,20,Parana Basin,-24.67,-52.80,PET,oil and gas,"Schenk et al., 1999",4,-9999,3,-9999,4,in 1995 exploration was still going on - shale oil production since 1972 in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR019PET,Brazil,BR,140,5,19,Parana Basin,-24.51,-51.32,PET,oil and gas,"Schenk et al., 1999",4,-9999,3,-9999,4,in 1995 exploration was still going on - shale oil production since 1972 in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR018PET,Brazil,BR,140,5,18,Parana Basin,-22.31,-52.05,PET,oil and gas,"Schenk et al., 1999",4,-9999,3,-9999,4,in 1995 exploration was still going on - shale oil production since 1972 in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR017PET,Brazil,BR,140,5,17,Espiritio Santo Basin,-19.01,-39.92,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1972,1,1981,2,Fazenda Cedro field found in 1972 - in 1981 the Lagoa Parda - Aracruz gasline was completed -> production at least since 1981,"Anonymous, 2001 - Santanna, year unknown - Petroleum Economist, 2003",1.2
BR016PET,Brazil,BR,140,5,16,Bahia Sul Basin,-17.72,-39.36,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
BR013PET,Brazil,BR,140,5,13,Sergipe-Alagoas Basin,-10.19,-36.54,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1950,1,-9999,3,Rio da Serra field found in 1950,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
BR009PET,Brazil,BR,140,5,9,Solimoes Basin,-4.93,-65.24,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1988,1,-9999,3,Leste do Urucu field found in 1988,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
BR012PET,Brazil,BR,140,5,12,Potigar Basin,-5.29,-37.22,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1981,1,-9999,3,"Estreito, Alto Do Rodrigues and Monte Alegre fields discovered in 1981","Anonymous, 2001 - Petroleum Economist, 2003",1.2
BR010PET,Brazil,BR,140,5,10,Putumayo-Orient-Maranon Basin,-4.73,-71.89,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist - no further information available,"Petroleum Economist, 2003",1.2
BR008PET,Brazil,BR,140,5,8,Solimoes Basin,-5.05,-66.95,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1978,1,-9999,3,Jurua (gas) field discovered in 1978,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR007PET,Brazil,BR,140,5,7,Solimoes Basin,-4.53,-67.78,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
BR005PET,Brazil,BR,140,5,5,Amazonas Basin,-4.37,-58.26,PET,oil and gas,"Schenk et al., 1999",2,1950,2,-9999,4,uneconomic discoveries in the 1950s in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR006PET,Brazil,BR,140,5,6,Solimoes Basin,-3.98,-66.06,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",3,-9999,3,-9999,3,"Igarape Puca, Sudoeste Jurua, Nordeste Jurua and Jurua (oil) fields - no further information available","Petroleum Economist, 2003",1.2
BR004PET,Brazil,BR,140,5,4,Amazonas Basin,-3.75,-59.26,PET,oil and gas,"Schenk et al., 1999",2,1950,2,-9999,4,uneconomic discoveries in the 1950s in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR003PET,Brazil,BR,140,5,3,Amazonas Basin,-3.34,-59.86,PET,oil and gas,"Schenk et al., 1999",2,1950,2,-9999,4,uneconomic discoveries in the 1950s in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR002PET,Brazil,BR,140,5,2,Amazonas Basin,-2.82,-54.91,PET,oil and gas,"Schenk et al., 1999",2,1950,2,-9999,4,uneconomic discoveries in the 1950s in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR011PET,Brazil,BR,140,5,11,Barreieinas Basin,-2.62,-43.25,PET,oil and gas,"Schenk et al., 1999",2,-9999,3,-9999,4,in 1995 the area was still underexplored - no significant finds in the exploration wells,"Kulke, 1995",1.2
BR001PET,Brazil,BR,140,5,1,Amazonas Basin,-1.30,-55.92,PET,oil and gas,"Schenk et al., 1999",2,1950,2,-9999,4,uneconomic discoveries in the 1950s in that area - no confirmation of Petroleum Economist,"Kulke, 1995 - Petroleum Economist, 2003",1.2
BR015PET,Brazil,BR,140,5,15,Tucano Basin,-11.50,-38.66,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1959,1,-9999,3,Buracica field discovered in 1959,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
BR014PET,Brazil,BR,140,5,14,Reconcavo Basin,-12.17,-38.27,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,Lobato field found in 1939 and Candeias field in 1941 - production commenced in 1940 - the Aratu field came on stream in 1942,"Anonymous, 2001 - Kulke, 1995 - Santanna, year unknown - Petroleum Economist, 2003",1.2
BL004PET,Bolivia,BL,145,5,4,Santa Cruz-Tarija Basin,-20.60,-63.54,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,Bermejo field discovered in 1925 and came on stream in the same year,"Anonymous, 2001 - Kulke, 1995",1.2
BL003PET,Bolivia,BL,145,5,3,Santa Cruz-Tarija Basin,-17.99,-63.00,PET,oil and gas,"Schenk et al., 1999",1,1960,1,1988,2,Caranda field discovered in 1960 - several fields producing at least since 1988,"Anonymous, 2001 - U.S. Library of Congress, year unknown - Petroleum Economist, 2003",1.2
BL002PET,Bolivia,BL,145,5,2,Santa Cruz-Tarija Basin,-17.04,-64.08,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1968,1,1993,2,Yapacani field found in 1968 - Surubi field started operating in 1993,"Anonymous, 2001 - Securities and Exchange Commission, Washington, D.C., 2003 - Petroleum Economist, 2003",1.2
BL001PET,Bolivia,BL,145,5,1,Madre dos Dios Basin,-11.59,-67.93,PET,oil,"Schenk et al., 1999 - Kulke, 1995",3,1991,1,-9999,3,Pando well discovered in 1991,"Kulke, 1995",1.2
AR012PET,Argentina,AR,160,5,12,Magallanes Basin,-53.70,-68.12,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1949,1,-9999,3,Las Violetas and Rio Cullen fields discovered in 1949,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
AR011PET,Argentina,AR,160,5,11,Magallanes Basin,-51.19,-69.90,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1965,1,-9999,3,Corrillos field found in 1965,"Anonymous, 2001 - Petroleum Economist, 2003",1.2
AR010PET,Argentina,AR,160,5,10,Magallenes Basin,-49.65,-71.83,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
AR009PET,Argentina,AR,160,5,9,San Jorge Basin,-46.13,-68.87,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,production commenced in 1907 at Comodoro Rivadavia,"Kulke, 1995 - Petroleum Economist, 2003",1.2
AR008PET,Argentina,AR,160,5,8,Neuquen Basin,-37.68,-68.97,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1970,2,El Porvenir field found in 1941 - Neuba I pipeline built in 1970 and transported gas from that basin -> production at least since,"Anonymous, 2001 - Securities and Exchange Commission, Washington, D.C., 1999 - Petroleum Economist, 2003",1.2
AR007PET,Argentina,AR,160,5,7,Cuyo Basin,-34.00,-67.20,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",4,-9999,3,-9999,4,Los Tordillos Oeste field - still under exploration in 2000,"Wilkinson, 2000 - Petroleum Economist, 2003",1.2
AR006PET,Argentina,AR,160,5,6,Cuyo Basin,-33.33,-68.78,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1958,1,Cacheuta field discovered in 1933 and the La Ventana field came on stream in 1958,"Anonymous, 2001 - Maure et al., 2001 - Petroleum Economist, 2003",1.2
AR005PET,Argentina,AR,160,5,5,Oran-Olmedo Basin,-25.01,-65.08,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",3,-9999,3,-9999,3,Cuchuma Olieros field - no further information available,"Petroleum Economist, 2003",1.2
AR004PET,Argentina,AR,160,5,4,Oran-Olmedo Basin,-23.83,-63.96,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,-9999,3,-9999,3,Caimancito field,"Kulke, 1995 - Petroleum Economist, 2003",1.2
AR003PET,Argentina,AR,160,5,3,Oran-Olmedo Basin,-23.20,-62.19,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1983,1,-9999,3,Palmar Largo field found in 1983,"Anonymous, 2001 - Kulke, 1995 - Petroleum Economist, 2003",1.2
AR002PET,Argentina,AR,160,5,2,Oran-Olmedo Basin,-22.80,-63.03,PET,oil and gas,"Schenk et al., 1999",3,-9999,3,-9999,3,no confirmation of Petroleum Economist,"Petroleum Economist, 2003",1.2
AR001PET,Argentina,AR,160,5,1,Santa Cruz-Tarija Basin,-22.52,-63.83,PET,oil and gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,-9999,3,Agua Blanca field discovered in 1926 and Ramos field in 1928,"Lindquist, 1998b - Kulke, 1995 - Petroleum Economist, 2003",1.2
CA002PET,Canada,CA,20,5,2,Sverdrup Basin,78.52,-102.23,PET,gas,"Petroleum Economist, 2002b - Klett et al., 1997",3,-9999,3,-9999,3,gas field - no further information available,"Petroleum Economist, 2002b",1.2
CA003PET,Canada,CA,20,5,3,Arctic Coastal Shelf,79.15,-104.64,PET,gas,"Petroleum Economist, 2002b - Klett et al., 1997",3,-9999,3,-9999,3,gas field - no further information available,"Petroleum Economist, 2002b",1.2
CA004PET,Canada,CA,20,5,4,Ellesmere Foldbelt,79.28,-83.33,PET,oil and gas,"Petroleum Economist, 2002b - Petroleum Economist, 2002c - Klett et al., 1997",2,1972,1,-9999,4,Romulus field discovered in 1972,"AINC-INAC_1, year unknown - Petroleum Economist, 2002b - Petroleum Economist, 2002c",1.2
CA007PET,Canada,CA,20,5,7,Northern Interior Basins,65.61,-126.61,PET,oil,"Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199",1,1945,1,1945,1,Norman Wells field found in 1920 and under production at least since 1933,"Anonymous, 2001 - Northwest Territories, year unknown - Petroleum Economist, 2003",1.2
CA019PET,Canada,CA,20,5,19,Algonquin Arch-Michigan Basin,42.46,-82.15,PET,oil and gas,"Earth Sciences and Resources Institute, 1995 - Petroleum Economist, 2003 - Klett et al., 199",1,1945,1,1945,1,Oil Springs field discovered in 1858  - oil production in Enniskillen Township commenced in 1857,"Kulke, 1995 - Oil Museum of Canada, year unknown",1.2
